name,_id,run_start_time,run_end_time,status,status_message,add_diesel_generator_one_distribution_center.batt_storage_capacity,add_diesel_generator_one_distribution_center.generator,add_diesel_generator_one_distribution_center.pv_power,create_doe_prototype_building.building_type,create_doe_prototype_building.climate_zone,batt_discharge_power,batt_initial_charge,batt_max_soc,batt_min_soc,epw_file,meter_name,reporting_frequency,template
DOE Autogenerated 2323,be03478c-d092-4246-9c8b-ce89c6199fe8,2022-07-15T23:46:53.632Z,2022-07-15T23:49:32.184Z,completed,completed normal,15.0,80kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1639,98f6fde8-c2c8-487c-a104-b31f440d9828,2022-07-15T23:05:01.850Z,2022-07-15T23:07:30.487Z,completed,completed normal,15.0,80kW Diesel,30.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2329,1b437208-b41d-4f37-9368-a96ec43adad7,2022-07-15T23:47:32.176Z,2022-07-15T23:50:04.307Z,completed,completed normal,50.0,80kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 841,015838cf-1b63-43af-879f-859cd465f3ff,2022-07-15T22:15:57.378Z,2022-07-15T22:18:31.496Z,completed,completed normal,15.0,80kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2080,a9999b80-1c91-49d1-ac9d-b919a50e12d8,2022-07-15T23:31:55.136Z,2022-07-15T23:34:32.803Z,completed,completed normal,30.0,55kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 678,deae1f03-1a5b-4e50-a78a-fc648dc736df,2022-07-15T22:06:03.769Z,2022-07-15T22:08:42.893Z,completed,completed normal,100.0,80kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1333,016d06ef-c64c-4c45-bd66-08de36c87151,2022-07-15T22:46:23.257Z,2022-07-15T22:49:02.552Z,completed,completed normal,10.0,55kW Diesel,5.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 964,ee965a3b-bcb4-49d5-b367-87b9e8531148,2022-07-15T22:23:40.628Z,2022-07-15T22:26:13.862Z,completed,completed normal,150.0,80kW Diesel,25.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1043,98fe7874-7ab2-4896-b326-eaea84d8632b,2022-07-15T22:28:15.413Z,2022-07-15T22:30:58.182Z,completed,completed normal,300.0,42kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1501,4eb00f77-a66f-47fa-9f5e-17dd07fc4d8b,2022-07-15T22:56:28.333Z,2022-07-15T22:59:01.277Z,completed,completed normal,400.0,42kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 277,2be6347d-6eeb-41c7-8957-7762e87c9742,2022-07-15T21:43:43.076Z,2022-07-15T21:46:07.248Z,completed,completed normal,50.0,80kW Diesel,20.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 528,4ec38702-78e0-46b3-82f6-bbae40942557,2022-07-15T21:57:16.014Z,2022-07-15T21:59:35.676Z,completed,completed normal,200.0,42kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 838,73bec8ae-b6cf-427d-8ca1-225c77606706,2022-07-15T22:15:34.196Z,2022-07-15T22:18:14.260Z,completed,completed normal,5.0,80kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 793,aba42805-84f1-4f6b-8589-de8390128721,2022-07-15T22:12:41.618Z,2022-07-15T22:15:17.407Z,completed,completed normal,150.0,80kW Diesel,10.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1343,0b9f2706-7522-47c1-bcc3-fe03f229508f,2022-07-15T22:46:54.982Z,2022-07-15T22:49:23.167Z,completed,completed normal,100.0,55kW Diesel,5.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1222,18bc502b-93f3-46bc-91ab-81bd4d916d4e,2022-07-15T22:39:39.797Z,2022-07-15T22:41:47.753Z,completed,completed normal,17.5,55kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 710,26ff09a4-c5c8-4f57-847b-51ff534f42eb,2022-07-15T22:07:29.574Z,2022-07-15T22:10:08.443Z,completed,completed normal,20.0,55kW Diesel,5.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1778,88f3e324-7a08-4f3a-b9b8-8ef0940071aa,2022-07-15T23:13:07.206Z,2022-07-15T23:15:44.492Z,completed,completed normal,50.0,42kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1799,553432d0-2c4d-4eb0-acde-d38ab305fea1,2022-07-15T23:14:23.426Z,2022-07-15T23:16:54.113Z,completed,completed normal,100.0,55kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1927,a9566c71-ca83-4270-8b06-6fc6642db096,2022-07-15T23:22:10.174Z,2022-07-15T23:24:42.142Z,completed,completed normal,25.0,80kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 914,1bf97574-463e-4076-ad75-9418084a9d48,2022-07-15T22:20:11.259Z,2022-07-15T22:22:48.129Z,completed,completed normal,5.0,42kW Diesel,25.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2403,875a6fb2-ad16-40cc-96a0-890df4c5f75e,2022-07-15T23:52:03.042Z,2022-07-15T23:54:42.943Z,completed,completed normal,30.0,42kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1210,94eb1aeb-f163-4fde-b01f-b9179cad5988,2022-07-15T22:38:43.637Z,2022-07-15T22:41:27.815Z,completed,completed normal,100.0,42kW Diesel,50.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2255,d2249b76-c90a-459a-b69a-7fae4e03c252,2022-07-15T23:42:43.821Z,2022-07-15T23:45:17.759Z,completed,completed normal,100.0,55kW Diesel,30.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 812,fa9aee8b-9a3c-4db2-8d99-72fd3338031f,2022-07-15T22:14:04.489Z,2022-07-15T22:16:34.709Z,completed,completed normal,150.0,42kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1938,ab0aaa6b-5619-4a23-861f-51405566ef3b,2022-07-15T23:22:50.305Z,2022-07-15T23:25:25.606Z,completed,completed normal,400.0,80kW Diesel,0.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2259,3abf1f3b-cbb6-46c3-a0be-1395f57edce2,2022-07-15T23:42:53.737Z,2022-07-15T23:45:41.633Z,completed,completed normal,300.0,55kW Diesel,30.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2100,4f412bb4-2172-4ceb-9ad0-6b5e8f5d0bd1,2022-07-15T23:33:07.736Z,2022-07-15T23:35:32.168Z,completed,completed normal,35.0,80kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1309,ccf04d2d-b06a-47a5-b0ac-d319bc46c6d8,2022-07-15T22:44:55.834Z,2022-07-15T22:47:32.257Z,completed,completed normal,300.0,80kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 115,852c585c-b538-4856-bc79-a2149f1cecb7,2022-07-15T21:34:47.957Z,2022-07-15T21:37:11.589Z,completed,completed normal,0.0,42kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1135,f646eae0-d74d-4c8c-a2ea-d3f9e130e676,2022-07-15T22:34:18.444Z,2022-07-15T22:36:48.152Z,completed,completed normal,150.0,80kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 545,62316683-3e04-4312-8892-f9bd58e28281,2022-07-15T21:58:01.063Z,2022-07-15T22:00:10.197Z,completed,completed normal,100.0,55kW Diesel,45.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1294,1e48ee4d-43db-46e5-9303-b7f3601b025d,2022-07-15T22:44:00.135Z,2022-07-15T22:46:40.417Z,completed,completed normal,5.0,80kW Diesel,0.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1478,eb440266-27d9-419b-85c1-e51040994c2c,2022-07-15T22:55:15.771Z,2022-07-15T22:57:38.614Z,completed,completed normal,200.0,80kW Diesel,15.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 487,d9ad1ca5-7ffd-496b-8563-870df9ee59e6,2022-07-15T21:55:05.093Z,2022-07-15T21:57:09.432Z,completed,completed normal,70.0,55kW Diesel,40.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1094,f02406a5-62c2-44e4-b7ac-b704c5f2f7bb,2022-07-15T22:31:45.157Z,2022-07-15T22:34:18.077Z,completed,completed normal,50.0,42kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1540,80d95937-3425-4dac-93c0-26e62f338df2,2022-07-15T22:58:53.718Z,2022-07-15T23:01:24.558Z,completed,completed normal,0.0,42kW Diesel,25.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 144,1320ba55-4785-4e3d-b233-9bad367ab93b,2022-07-15T21:36:51.053Z,2022-07-15T21:39:07.970Z,completed,completed normal,50.0,55kW Diesel,10.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 1738,d0c35450-ee77-4f0c-a611-6f384d531c4b,2022-07-15T23:10:38.813Z,2022-07-15T23:13:03.453Z,completed,completed normal,30.0,55kW Diesel,40.0,SmallOffice,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2283,8f27b47f-3c6f-46f2-b1e5-282826c36224,2022-07-15T23:44:45.782Z,2022-07-15T23:47:10.106Z,completed,completed normal,10.0,42kW Diesel,35.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 1121,80e637a9-7e28-44df-b1cc-84b558b8c04b,2022-07-15T22:32:58.999Z,2022-07-15T22:35:31.541Z,completed,completed normal,400.0,55kW Diesel,40.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2410,23d18914-282d-4371-b48d-b09400417f28,2022-07-15T23:52:35.775Z,2022-07-15T23:55:02.845Z,completed,completed normal,250.0,42kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 2442,f177bd64-2432-4cf7-8ac9-31a1a201d8e5,2022-07-15T23:54:25.726Z,2022-07-15T23:57:04.661Z,completed,completed normal,35.0,80kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 205,a9d6573d-25bd-42f2-a9a0-772c5bdd0d0c,2022-07-15T21:39:29.213Z,2022-07-15T21:41:42.845Z,completed,completed normal,200.0,55kW Diesel,15.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 376,e2862e7f-19e8-48ee-b111-546dddd227a8,2022-07-15T21:48:45.961Z,2022-07-15T21:51:03.299Z,completed,completed normal,200.0,55kW Diesel,30.0,SmallOffice,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 738,1fb4c3a2-ba65-46c4-b54a-4763fcdd29d6,2022-07-15T22:09:26.366Z,2022-07-15T22:11:59.237Z,completed,completed normal,250.0,80kW Diesel,5.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
DOE Autogenerated 2416,64a50dca-9922-4f0f-9fae-700dfd1d50e1,2022-07-15T23:52:51.543Z,2022-07-15T23:55:34.636Z,completed,completed normal,10.0,55kW Diesel,45.0,RetailStandalone,ASHRAE 169-2013-3C,,,,,,,,
DOE Autogenerated 836,34ce1990-b9c9-4522-b470-85454b206a05,2022-07-15T22:15:25.445Z,2022-07-15T22:17:57.181Z,completed,completed normal,400.0,55kW Diesel,15.0,RetailStandalone,ASHRAE 169-2013-6B,,,,,,,,
